gene	logFC
Dusp2	2.06330737882219
Accn5	2.06106501958717
Gja4	2.05799232374363
Shroom1	2.05742856175565
Kif27	2.0549968185463
Flt3l	2.05430360047256
Slc39a4	2.0541415935397
Prss41	2.05275885180246
Gm7092	2.04743986589748
SNORA5	2.04595283611932
Gltpd2	2.04546158566449
Fam113b	2.04447902045831
Pm20d1	2.04110260326356
D130043K22Rik	2.03959979698238
Kcnd1	2.03755964496866
1700102P08Rik	2.0372683226098
5730409E04Rik	2.03498945960022
Tpm2	2.03203052015014
Gm16606	2.02807389664687
Pde8a	2.02699805461343
Serpinc1	2.02649787821409
Dnase1l2	2.02639853178394
Gm14921	2.02605084265553
Sykb	2.0251182503957
B3gnt8	2.02496916131434
Rbp2	2.02374193509936
Aldh3b1	2.02327020176178
Tpte	2.02223663621599
Panx2	2.02214090094405
Plekhg1	2.02059754415887
C2	2.02008715706414
Nat14	2.01692983169418
Hist2h3c1	2.01394365501154
Slc46a1	2.01308731130899
Capn13	2.00617721242132
Hr	2.00157296691032
Slc26a6	2.00146587202056
Spnb4	1.99767023819831
Mitf	1.99689559815279
Gm15753	1.99656505221254
Gm14492	1.99139322415222
Krt20	1.99027463223235
Gcnt1	1.98950658208108
Trim12c	1.98906292945375
Pnp2	1.98675745672207
Nxf7	1.98572548698719
Prelp	1.98412392126596
Grin3b	1.98300239590754
Cpt1b	1.98139824348449
Lamb1	1.98056540039993
Slc23a1	1.9799102162452
Ccdc88b	1.97972737918289
Mylk	1.97960027319802
RP23-372H6.5	1.97877119614494
Pde9a	1.97518512044002
Fgf9	1.9683586111811
Hlf	1.96779015597975
Trim7	1.96773744990387
Adamts15	1.96628997767805
Ces2h	1.96574413931821
Gm8815	1.96564317593194
Gm5887	1.96379389956287
Spns3	1.96376561751674
Hck	1.96346919885722
Hspa1a	1.96326392905165
Irf5	1.96047386399157
Muc6	1.95866591194883
Slc17a9	1.95579691075321
Pbld1	1.95423909084488
9030622O22Rik	1.94787163785507
Ceacam10	1.94549751377712
Slc2a10	1.94467940242371
Ppm1n	1.94327090929308
Gpt	1.94269909589935
1700030A11Rik	1.94256024971662
Atp6v0e2	1.94243531526392
Svep1	1.94080640902044
Gm9378	1.9375642910362
Slfn4	1.935688388934
Adap2	1.93186136615786
Gm15226	1.9314320999663
Adamts10	1.93004162005038
Lat2	1.92945041999651
Tnfsf12	1.92835953058587
Gm16170	1.92624624709064
1700020L24Rik	1.92418041781818
Dio1	1.92358824280305
Gm10506	1.91858805181307
Emb	1.91770683798769
Lrp1	1.91703100605515
Hist1h4k	1.91409565861096
Creb3l3	1.91217820565548
Tmem37	1.91056874499533
Scnn1a	1.90828941776315
2010106E10Rik	1.90814573271129
Col25a1	1.90733852912993
Limch1	1.90358403286331
Aldh4a1	1.90251868208257
Kcnab1	1.90184354081385
Wnt4	1.9006167097121
Rilp	1.89961894374627
Chat	1.898197869469
NR_040303	1.89574174097375
Lipe	1.89540185584133
Vav1	1.89017559265846
Tnfrsf25	1.88778459303292
Fcamr	1.88699436132473
Gm16984	1.88677564121027
Catsper4	1.88590991238547
Parp9	1.88384947248915
Emilin1	1.88335842862848
RP23-396N6.7	1.88250420871441
Gm16166	1.88226028398133
Fbxl21	1.87902815795325
Prodh2	1.87895486405083
Spo11	1.87643521937571
Plxnc1	1.87405076747877
Dhrs3	1.87216969703767
Nkx1-2	1.87215717577591
AW011738	1.87103125354752
Tex15	1.86528861262729
Sult1a1	1.86444179667434
Rltpr	1.86413505333626
Pigz	1.86403217242381
Inpp1	1.86318672555306
Prodh	1.86062720549338
Abhd6	1.86038009721425
Spats2l	1.85981248179491
Tiam2	1.85910760525435
Abcd1	1.85744339885628
Tmeff1	1.85539412728319
Cd244	1.85501896307785
Mfrp	1.85265161708073
1-Sep	1.85215165127974
Parp3	1.84771843285895
Syt5	1.8460328542746
Chad	1.8452893420354
Copz2	1.8416724454878
Hspa1b	1.84014966102078
Sepp1	1.83952442050536
Kifc2	1.83947730381597
Farp2	1.83893612678396
Dpep1	1.83844608222511
Proz	1.8381759665452
Gpr160	1.83466023063519
Gm8615	1.83453468924261
Bcas1	1.83404182106017
1110002E22Rik	1.83340057478966
Tmc5	1.832511977356
Efnb3	1.83173463465488
Chrm1	1.83136273468368
4930415O20Rik	1.83121596998598
Tcp11	1.82570879103822
Capsl	1.82195380320451
Tmem140	1.8219111347664
Slc14a1	1.8187026727626
Slc6a8	1.8182584904386
Acsl6	1.81824456523014
Ggt1	1.81674288818064
6530402F18Rik	1.81574899139649
Rdh7	1.8156731011027
Oas1a	1.81086541986201
Armcx3	1.80672363537933
Rai2	1.80661155504576
Cd97	1.80367681999971
Muc20	1.80194575413572
Syne1	1.80150535629638
1-Mar	1.79965081652425
Il18	1.79771061489591
Gm17523	1.79700681889301
Gnpda1	1.79667616953002
Nuak2	1.79665054390473
Atp10d	1.79505257149523
Agpat9	1.79321673055493
H2-T23	1.79173657946613
Adam1a	1.79012158256347
Gm12352	1.78954780152674
Zfp385b	1.78796118592938
Npr1	1.78612540426976
Ppard	1.78439962389722
Anks6	1.78433224550886
Abat	1.78357887674999
Spib	1.78351497945205
Slco2b1	1.7802312420149
Ppic	1.77986028991402
Enpep	1.77911322724708
1700112E06Rik	1.77853346374271
Gm15954	1.77823456718952
Pmel	1.77793904412815
Clic3	1.77622277415499
Rhbdl3	1.77269033949838
Rdh12	1.770921477927
Ms4a8a	1.76961468238216
2310006M14Rik	1.76873598831755
Gcom1	1.76808591228106
Ttc8	1.76353441984995
Arhgap24	1.76259093406119
Camta2	1.76197026955508
Fam167a	1.76137848689578
Neto1	1.76062220170707
Mlkl	1.75845251747055
Ddx58	1.75821946916181
Asah2	1.75793844191504
2210011C24Rik	1.75589540909309
Muc4	1.75447676310177
Itgb2l	1.75387937819656
Pdgfrb	1.7526154786455
Defa26	1.75165071065681
Ksr1	1.75038262085152
Defa24	1.74969492231077
Gm15788	1.74572401782369
Celsr1	1.74433070908238
Rgs14	1.74235791170523
Lrrc19	1.73981473479408
Dnajb13	1.73804814984612
Myo7a	1.73493581758707
Cpt1a	1.73483316492356
Smad7	1.73375851122147
Rnf152	1.73280038614761
Gm15947	1.72808601620793
Gm15635	1.72752404709464
Col15a1	1.72623948709116
Abhd3	1.72421417548502
1200009I06Rik	1.7237893500684
Adrbk2	1.72361064359878
Ifitm1	1.72310839865569
Cnpy1	1.72150946104303
Gng2	1.72148735061168
Vsig10	1.72145464285706
Kctd12	1.72108306630701
Nox1	1.71727635337217
Fam20a	1.71399203847614
Il16	1.71377500577272
Lancl3	1.71346013199293
Zc3h12a	1.71311446155595
Slc1a1	1.71279953730722
Fndc8	1.71272590217836
Pnliprp2	1.7108229878382
Gm11739	1.70890554145937
A430078I02Rik	1.70670115716992
G630090E17Rik	1.7062798981441
Dcaf12l1	1.70550741110495
A830036E02Rik	1.70368482202043
Myo1a	1.70294726549419
2010003K11Rik	1.70263573216452
Npc1l1	1.70233692307124
Fam78a	1.70137812045474
4831426I19Rik	1.70098404188365
Col7a1	1.70064357005357
Parp8	1.70017716691206
Gpr112	1.6998816697297
Apoc3	1.69981403677936
Chic1	1.69977312062284
Slc9a7	1.69937469044766
Arhgap26	1.69565700243971
Ace2	1.69470197436084
Rnf213	1.69360431117693
Acy1	1.69322810246216
2010012P19Rik	1.69228163900155
Slc2a6	1.69125066499508
Iqcg	1.69062921669693
Gm17477	1.6900607913711
