gene	logFC
BRCA1	3.14739466096846
B4GALNT3	3.14735627570018
DCLRE1A	3.14685946507507
LOC105378731	3.14550477162476
FBXO5	3.14164242527204
LOC91370	3.14086491000507
SQLE	3.13709768021375
TK1	3.13491065595176
TRMT5	3.13406238376385
INAVA	3.13044782182911
BUB1B-PAK6	3.12828870805526
THRIL	3.12452811991886
H2BC6	3.11842038708238
GINS3	3.11607148418061
NSDHL	3.11510028968787
NUSAP1	3.11409400682438
MRPL27	3.11269384461217
STAB1	3.10672767385423
CRISP3	3.1056199012855
RAD54B	3.10108648615423
IMP3	3.09804611128089
BLM	3.09767538442739
CXCL14	3.09399669901336
H3-2	3.09236511230392
PCLAF	3.0804950944464
POLR3K	3.07964347910407
GAS2L3	3.07628146378576
C20orf197	3.0747137657743
H3C6	3.07197401541652
LCMT2	3.07152439530786
LRP3	3.07032813353396
ASGR2	3.06884363729975
SNORD93	3.06314366208383
C14orf119	3.05854631110263
TRPC5OS	3.05591308820189
COA7	3.05388670009115
DIAPH3	3.05237838659307
EPX	3.05204819071467
MED18	3.05163297617205
MAD2L1	3.05155338999389
BCYRN1	3.05071325557975
CNR2	3.04369625194938
LOC105376995	3.04057772812044
SCD	3.04000545134135
NDC80	3.03658920956922
CCNE1	3.03479832230857
TUBB4B	3.03050494191369
HMSD	3.02948795234032
GRPEL2-AS1	3.0279751026738
IPCEF1	3.01670991782782
VDR	3.01545180302957
GINS2	3.0124430513031
ORC1	3.01130438774837
HTR7	3.01105787932192
NR5A2	3.01021431671101
C3orf14	3.00748200446818
GTF2E1	3.00305652835355
MSL3P1	2.99903095332589
TRAIP	2.99729174649627
H2BC9	2.98940938829517
POC1A	2.9880092299632
FDPS	2.98687644152157
LPO	2.98352339238941
FOXM1	2.98275150047683
TMEM121B	2.9806772818243
P2RY2	2.97886026332422
SNRNP25	2.97683304102227
GRPEL1	2.97618440623464
H2AX	2.9757891184899
MYBL2	2.97575939346871
S100A11	2.97133183948768
SGO2	2.96106729636016
RACGAP1P1	2.95981660140781
H2AZ1	2.95163038359218
HILPDA	2.95108550745619
PAK1IP1	2.94481508801004
MANF	2.94398051147238
SGO1-AS1	2.93938072364068
SNORD14C	2.93835520828778
GLRX2	2.93169473769459
H2BC11	2.93014384575969
ACTL8	2.9301187831621
ZNF835	2.92859884533626
RRS1	2.92378379144962
NT5DC4	2.92059221611035
XRCC2	2.91556825463997
TCF19	2.91329268936801
ACTRT3	2.91060547750232
HAUS8	2.90852428404535
HEPH	2.90404354618957
PYM1	2.90202476002085
EXOSC3	2.90044416763987
PMCH	2.90005600066442
CAMK1	2.8997605908763
RECQL4	2.89746043766575
LOC107987083	2.89607564021645
HMGCR	2.89478002189877
TRDV2	2.89265755186195
RUSC1-AS1	2.88912923356514
NEFH	2.8866604085834
MRPL35	2.88363639924632
H2AC16	2.8830891281483
IL1RL1	2.88260927390177
KLF1	2.87864805398071
FADS2	2.87452566642172
NAT1	2.8698761322066
FBN2	2.86891549070239
TICAM2	2.86880675232638
MAK16	2.85979297217025
SLC25A48	2.85743025322072
SPR	2.8545725465274
HES6	2.85364800184607
INCENP	2.85266407512928
ELOVL6	2.85123943979722
MRPL46	2.84607186078304
ZNF114	2.8378154531983
LOC105374234	2.8351809165739
GINS4	2.83289083118271
EPB41L3	2.82857371632401
MYL4	2.82770326434579
LOC107983990	2.82684172411815
EBP	2.82542368099683
RRM1	2.82377528785319
TTI2	2.82245423538634
RAD51	2.82206265681988
H4C8	2.82181456517557
FAM47E-STBD1	2.8200538476164
TRG-GCC1-4	2.81999758181829
TRG-GCC1-2	2.81999758181829
CDHR1	2.81986261762329
LOC105377756	2.81825281545985
LSS	2.81745815665203
